cell_id,score,biomasa_10km,dist_gasoducto,dist_carretera,pendiente_media,pts_carretera,pts_suelo,dist_nucleos,red_natura,cluster,purin_bruto_t_anio,purin_mov_t_anio,biometano_Nm3h,biometano_año_m3,capex_total_€,capex_total_M€,opex_fijo_€,coste_feedstock_€,opex_variable_€,amortizacion_anual_€,costes_totales_€,ingreso_pesimista_€,margen_pesimista_€,margen_pesimista_M€,ingreso_base_€,margen_base_€,margen_base_M€,ingreso_optimista_€,margen_optimista_€,margen_optimista_M€,proporcion_biomasa,stock_proyectado_15a,viable,viable_pred,margen_pred_€,margen_pred_M€
2324,71.69,200931.0,3040.912615402477,2917.6111182935797,8.1617529296875,4,3.0,3021.70006441249,0,0.0,339178.0,245056.0,559.5,4901118.0,3709716.0,3.71,859194.0,833190.0,588134.0,247314.0,2527832.0,3136165.0,608333.0,0.61,3871333.0,1343501.0,1.34,4606501.0,2078669.0,2.08,0.03876481068655605,329009.0,0,0,1321143.6737873615,1.32
2325,71.96,201759.0,2582.4760739937688,3469.041736533358,7.241771240234375,4,3.0,3632.840600194706,0,0.0,336278.0,242961.0,554.7,4859219.0,3548270.0,3.55,855965.0,826067.0,583106.0,236551.0,2501689.0,3111235.0,609546.0,0.61,3840118.0,1338429.0,1.34,4569001.0,2067312.0,2.07,0.03892455340046515,330365.0,0,0,1328069.5907437645,1.33
2331,74.23,200055.0,598.260958830455,3401.4672080416176,5.720540771484375,4,3.0,4514.426921407376,0,0.0,310048.0,224010.0,511.4,4480193.0,2736666.0,2.74,839733.0,761634.0,537623.0,182444.0,2321434.0,2885715.0,564281.0,0.56,3557744.0,1236310.0,1.24,4229773.0,1908339.0,1.91,0.03859580752546382,327574.0,0,0,1290470.2920816161,1.29
2447,69.74,203898.0,1042.1753748844108,787.2503935041996,2.9526690673828124,2,3.0,6449.373993876823,0,2.0,273747.0,197782.0,451.6,3955645.0,2570441.0,2.57,836409.0,672459.0,474677.0,171363.0,2154908.0,2573609.0,418701.0,0.42,3166956.0,1012048.0,1.01,3760302.0,1605394.0,1.61,0.039337222078063644,333867.0,0,0,1104106.6241111,1.1
2449,66.49,205897.0,1652.8637252927622,1285.7536382803314,8.39265625,2,3.0,6988.017101764568,0,2.0,277030.0,200154.0,457.0,4003090.0,2780728.0,2.78,840615.0,680524.0,480371.0,185382.0,2186892.0,2601839.0,414947.0,0.41,3202302.0,1015410.0,1.02,3802766.0,1615874.0,1.62,0.03972288111804466,337140.0,0,0,945092.8825269289,0.95
2471,66.15,201479.0,2138.402015403278,1354.17185485238,6.795418701171875,2,3.0,7485.115210670087,0,2.0,261915.0,189233.0,432.0,3784667.0,2801719.0,2.8,841034.0,643392.0,454160.0,186781.0,2125367.0,2471877.0,346510.0,0.35,3039577.0,914210.0,0.91,3607277.0,1481910.0,1.48,0.038870534125230186,329906.0,0,0,942302.3872993436,0.94
2472,67.24,200325.0,2009.5274777004,888.6276618202756,4.599906005859375,2,3.0,7447.994501376113,0,2.0,263303.0,190236.0,434.3,3804723.0,2774504.0,2.77,840490.0,646802.0,456567.0,184967.0,2128826.0,2483810.0,354984.0,0.35,3054519.0,925693.0,0.93,3625227.0,1496401.0,1.5,0.03864789754086896,328016.0,0,0,940517.701149384,0.94
2473,66.63,203476.0,2622.4845029521293,1572.9269936341004,3.8784963989257815,2,3.0,7982.575801046635,0,2.0,268478.0,193975.0,442.9,3879509.0,3001077.0,3.0,845022.0,659515.0,465541.0,200072.0,2170150.0,2528308.0,358158.0,0.36,3110234.0,940084.0,0.94,3692161.0,1522011.0,1.52,0.03925580731324524,333176.0,0,0,942285.8444938345,0.94
2489,61.48,204566.0,3932.5310996513736,3748.3669627331783,12.157283935546875,2,3.0,8539.787617136419,0,5.0,260555.0,188251.0,429.8,3765023.0,3328745.0,3.33,851575.0,640053.0,451803.0,221916.0,2165347.0,2460189.0,294842.0,0.29,3024942.0,859595.0,0.86,3589696.0,1424349.0,1.42,0.039466096634695615,334961.0,0,0,908043.0988211214,0.91
2600,67.36,202743.0,1320.281175502785,214.2052106660875,7.537882080078125,2,3.0,6962.427799902105,0,2.0,275133.0,198784.0,453.8,3975677.0,2665306.0,2.67,838306.0,675866.0,477081.0,177687.0,2168940.0,2585528.0,416588.0,0.42,3181879.0,1012939.0,1.01,3778231.0,1609291.0,1.61,0.03911439256771943,331976.0,0,0,960176.6780933017,0.96
